?c	?label	?d
<http://purl.obolibrary.org/obo/UBERON_3010136>	"M. cruralis"^^<http://www.w3.org/2001/XMLSchema#string>	"Originates from the anterior surface of the hip joint capsule between the iliacus internus and the pectineus. Inserts by an aponeurosis attaching to the condyles of the femur and on the head of the cruris. This continues over the cruris to cover the tibialis anticus longus and peroneus to insert on the dorsal surface of those muscles."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000528>	"interradialis"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010424>	"right channel of ventral aorta"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010160>	"obsolete supporting cell"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001892>	"interhyal element"^^<http://www.w3.org/2001/XMLSchema#string>	"Skeletal element that is bilaterally paired and articulates dorsally with the hyosymplectic cartilage or the articulation of the hyomandibula and symplectic."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3011120>	"early proximal tubule"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010729>	"M. coracobrachialis longus"^^<http://www.w3.org/2001/XMLSchema#string>	"Muscle which originates as a long belly from the dorsal coracoid near the sternum and inserts on the shaft of the humerus."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000839>	"crista radii"^^<http://www.w3.org/2001/XMLSchema#string>	"Small ridge on the lateral aspect of the radial shaft, located at the level of the collum antibrachii."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001711>	"frontal-pterotic joint"^^<http://www.w3.org/2001/XMLSchema#string>	"Joint that articulates the frontal and pterotic. Frontal-pterotic joint is paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001653>	"pharyngobranchial 3 tooth"^^<http://www.w3.org/2001/XMLSchema#string>	"Tooth that is part of the pharyngobranchial 3 tooth plate."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000688>	"obsolete olfactory support cell"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4200097>	"intermediate spine"@en	"Spine ventrally located on the body and not part of the pectoral, pelvic or anal fins."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010293>	"obsolete primordial germ cell"^^<http://www.w3.org/2001/XMLSchema#string>	"Primitive cell type that is involved in the reproduction of the organism beginning with the sexual differentiation of the gonads at NF stage 52. In males specifically, it migrates from the genital ridge cortical region into the medullary tissue, where it forms spermatogonia. In females it is embedded in the cortical region and multiplies as oogonia."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000601>	"tectum nasi"^^<http://www.w3.org/2001/XMLSchema#string>	"Roof of the nasal capsule, confluent with lamina orbitonasalis posteriorly and united to septum nasi."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000102>	"dorsal fin fold"^^<http://www.w3.org/2001/XMLSchema#string>	"Region of the median fin fold that develops into the dorsal fin."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002009>	"medial cartilage of palatine"^^<http://www.w3.org/2001/XMLSchema#string>	"Pharyngeal cartilage that caps the medial margin of the palatine at the autopalatine-lateral ethmoid joint."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000449>	"torus longitudinalis"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010796>	"ramus supraotic"^^<http://www.w3.org/2001/XMLSchema#string>	"Small ramus of the MLLN that innervates neuromasts located at the posterior margin of the otic capsule."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000230>	"longitudinal hypochordal"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000587>	"supraangular"^^<http://www.w3.org/2001/XMLSchema#string>	"The suprangular or surangular is a jaw bone found in most land vertebrates, except mammals. It's usually in the back of the jaw, on the upper edge, and is connected to all other jaw bones: dentary, angular, splenial and articular. It is often a muscle attachment site."
<http://purl.obolibrary.org/obo/UBERON_2001529>	"epibranchial 3 cartilage"^^<http://www.w3.org/2001/XMLSchema#string>	"Epibranchial cartilage that is bilaterally paired and articulates laterally with ceratobranchial 3 cartilage or bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010840>	"portion of cell substance"^^<http://www.w3.org/2001/XMLSchema#string>	"Portion of organism substance located within a cell."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000212>	"granular eminence"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001552>	"obsolete pelvic fin lepidotrichium"^^<http://www.w3.org/2001/XMLSchema#string>	"Lepidotrichium which is part of the pelvic fin."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010313>	"obsolete myoblast"^^<http://www.w3.org/2001/XMLSchema#string>	"Embryonic (precursor) cell of the myogenic lineage that develops from the mesoderm."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000991>	"epaxial region somite 10"^^<http://www.w3.org/2001/XMLSchema#string>	"Somite-derived body wall muscle present dorsal to the horizontal myoseptum. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000112>	"crista dentalis of premaxilla"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001419>	"dorsal fin pterygiophore"^^<http://www.w3.org/2001/XMLSchema#string>	"A range of seven to nine rod-like internal median skeletal support structures of the dorsal fin, comprised of both bone and cartilage and found between vertebrae 11 and 18."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000744>	"epaxial region somite 22"^^<http://www.w3.org/2001/XMLSchema#string>	"Somite-derived body wall muscle present dorsal to the horizontal myoseptum. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001456>	"pectoral fin endoskeletal disc"^^<http://www.w3.org/2001/XMLSchema#string>	"A plate-like chondrogenic condensation within the pectoral fin, which subdivides into individual radials by decomposition of extracellular matrix in the inter-radial mesenchyme (Grandel and Schulte-Merker, 1998)."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001666>	"rudimentary neural arch"^^<http://www.w3.org/2001/XMLSchema#string>	"Neural arch on the urostyle. It does not support a neural spine. Sanger and McCune 2002."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001058>	"obsolete caudal fin"^^<http://www.w3.org/2001/XMLSchema#string>	"The caudal fin is the most posterior median fin. It is composed of a complex of three modified centra and modified neural and hemal arches and spines. Mabee and Bird, 2001."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002261>	"dorsal fin spine"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001706>	"infraorbital 11"^^<http://www.w3.org/2001/XMLSchema#string>	"Infraorbital that is the eleventh bone of the infraorbital series."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002065>	"ural centrum 1"^^<http://www.w3.org/2001/XMLSchema#string>	"A vertebral centrum that is immediately posterior to preural vertebra 1. Ural centrum 1 is an unpaired median bone."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000395>	"muscle pioneer somite 2"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000588>	"obsolete supraoccipital"^^<http://www.w3.org/2001/XMLSchema#string>	"Median, unpaired bone that can form the dorsal margin of the foramen magnum."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000809>	"myotome somite 4"^^<http://www.w3.org/2001/XMLSchema#string>	"Portion of the somite giving rise to body wall muscle masses. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000530>	"lapillus"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3010295>	"obsolete spermatozoon"^^<http://www.w3.org/2001/XMLSchema#string>	"A mature male germ cell that develops from a spermatid."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000933>	"myotome somite 5"^^<http://www.w3.org/2001/XMLSchema#string>	"Portion of the somite giving rise to body wall muscle masses. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001705>	"infraorbital 10"^^<http://www.w3.org/2001/XMLSchema#string>	"Infraorbital that is the tenth bone of the infraorbital series."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200045>	"articular surface for the astragalus on the calcaneum"@en	"Contact surface between the calcaneum and the astragalus located on the calcaneum. "^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2005072>	"endocardial ring"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005319>	"intersegmental lymph vessel"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000374>	"palatine process of pars palatina of premaxilla"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000500>	"dorsal erector"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4200094>	"inner digits of hand"@en	"The medial most digit of the manus skeleton."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002029>	"pectoral fin proximal radial 4"^^<http://www.w3.org/2001/XMLSchema#string>	"Pectoral fin proximal radial that is the fourth most anterior or dorsal pectoral fin radial."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010712>	"levator mandibulae externus profundus"^^<http://www.w3.org/2001/XMLSchema#string>	"Muscle which is responsible for the closing of the jaw."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200080>	"fibular crest"^^<http://www.w3.org/2001/XMLSchema#string>	"A bony projection on the lateral side of the tibia, allowing contact between the later and the fibula."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000540>	"magnocellular octaval nucleus"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002294>	"fish scute"^^<http://www.w3.org/2001/XMLSchema#string>	"Dermal bone that is an unpaired, scale-like structure. Arratia, G. 2009. Identifying patterns of diversity of the actinopterygian fulcra. Acta Zoologica (Stockholm) 90 (Suppl. 1): 220-235."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010404>	"capillary system of liver"^^<http://www.w3.org/2001/XMLSchema#string>	"The smallest of the blood vessels, parts of the microcirculation, of the liver."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000701>	"intervertebral space"^^<http://www.w3.org/2001/XMLSchema#string>	"Space formed by the anterior and posterior intervertebral notches. The intervertebral spaces accommodate the spinal nerves as they emerge from the spinal canal."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000824>	"tenuitas cristaeformis"^^<http://www.w3.org/2001/XMLSchema#string>	"Leading (anterior) portion of the scapula, which is thinner than the rest of the shaft."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000923>	"muscle pioneer somite 7"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000836>	"crista lateralis"^^<http://www.w3.org/2001/XMLSchema#string>	"Ridge on the lateral aspect of the humeral shaft located just anterior to the radial (lateral) epicondyle."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001594>	"caudal fin lower lobe"^^<http://www.w3.org/2001/XMLSchema#string>	"Surface structure that is the ventral portion of the caudal fin."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000910>	"medial forebrain bundle telencephalon"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000562>	"septum semircularium posterior"^^<http://www.w3.org/2001/XMLSchema#string>	"The posterior connective tissue partition between walls of otic capsule around which the membranous semicircular canals pass."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010824>	"processus triangularis"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2000800>	"muscle pioneer somite 9"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2005211>	"MeL"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001191>	"supraneural 2 bone"^^<http://www.w3.org/2001/XMLSchema#string>	"Supraneural bone located dorsal to vertebra 2."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000885>	"Nobelian bone"^^<http://www.w3.org/2001/XMLSchema#string>	"Paired cartilaginous rods that lie within the copulatory organ (or so-called tail) and are attached to the posteroventral part of the pelvic girdle."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000329>	"oblique cartilage"^^<http://www.w3.org/2001/XMLSchema#string>	"Semi-circular cartilaginous sheet that lies lateral to the side of the septum nasi."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000623>	"basipterygium"^^<http://www.w3.org/2001/XMLSchema#string>	"Endochondral bone that is paired and supports the pelvic fin. The basipterygium has a posteromedial process called the ischiac process (Wietzman 1962)."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/uberon/phenoscape-anatomy#DUBIOUS>	"dubious or contested synonym"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001849>	"epihyal-branchiostegal ray joint"^^<http://www.w3.org/2001/XMLSchema#string>	"Joint that articulates the epihyal and branchiostegal ray bones. Epihyal-branchiostegal ray joint is paired."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000388>	"medial caudal lobe"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_4200109>	"outer digits of pes"@en	"The flanking digit of the pes."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2002290>	"obsolete vitreous"^^<http://www.w3.org/2001/XMLSchema#string>	"Portion of organism substance that is a gelatinous extracellular matrix structure that fills the vitreous cavity of the eye."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010071>	"cranial crest"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001770>	"anal fin lepidotrichium 2"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.obo/obo/UBERON_4100012>	"postacetabular zone"@en	"Region of the ilium posterior and dorsal to the acetabulum. [AD]"^^<http://www.w3.org/2001/XMLSchema#string>
